participant_id,question_slot,question_id,issue_type,evidence,suggested_action,priority
P05,,UNKNOWN,RAW_LAYOUT_DIFFERENCE,The participant source exists in the collected-results directory but its content hash is absent from the original source ZIP.,Keep the original ZIP unchanged and track this participant as a post-ZIP addition; include the separate source when transferring the dataset.,low
P06,,UNKNOWN,RAW_LAYOUT_DIFFERENCE,The participant source exists in the collected-results directory but its content hash is absent from the original source ZIP.,Keep the original ZIP unchanged and track this participant as a post-ZIP addition; include the separate source when transferring the dataset.,low
P03,1,COMB_B1,TRACE_STEP_UNCERTAIN,有24、6×6有15、7×7有8个、8×8有3个,Review the entry point; the source does not identify a specific first-attended signal.,medium
P05,3,TRIG_A3,QUESTION_BOUNDARY_UNCERTAIN,"The direct first-person statement identifies Q3, while the later third-person note is secondary and is not treated as verbatim student speech.",Review source document/audio boundary; keep non-chronological repeated notes separate.,medium
P05,2,TRIG_A2,TRACE_STEP_UNCERTAIN,由题可知 f(x) 最小正周期为 Π,Review the entry point; the source does not identify a specific first-attended signal.,medium
P06,,UNKNOWN,SOURCE_EVIDENCE_UNAVAILABLE,Only the curated Markdown is present in this workspace; the referenced original handwriting photo and three chat screenshots are not available for independent pixel-level verification.,"Retain the curated record, and attach the original screenshots/photo if independent source-level audit is required.",medium
P06,2,TRIG_A2,TRACE_STEP_UNCERTAIN,这个周期是π,Review the entry point; the source does not identify a specific first-attended signal.,medium
P01,,UNKNOWN,ASR_UNCERTAIN,Removed/marked 8 obvious prompt-echo or advertising-like ASR spans.,Audit critical evidence against source audio; do not restore boilerplate as student speech.,high
P02,,UNKNOWN,ASR_UNCERTAIN,Removed/marked 18 obvious prompt-echo or advertising-like ASR spans.,Audit critical evidence against source audio; do not restore boilerplate as student speech.,high
P03,,UNKNOWN,ASR_UNCERTAIN,Removed/marked 19 obvious prompt-echo or advertising-like ASR spans.,Audit critical evidence against source audio; do not restore boilerplate as student speech.,high
P04,,UNKNOWN,ASR_UNCERTAIN,Removed/marked 7 obvious prompt-echo or advertising-like ASR spans.,Audit critical evidence against source audio; do not restore boilerplate as student speech.,high
